hip,proper,bayer,ra,dec,mag,con
21515,,,4.620465,0.998314,5.32,Tau
21517,,,4.620772,18.543031,6.49,Tau
21588,,,4.635956,16.033291,5.78,Tau
21589,,,4.635961,12.510838,4.27,Tau
21604,,,4.637731,20.684722,5.85,Tau
21670,,,4.65171,7.870976,5.38,Tau
21673,,Sig-1,4.65256,15.799846,5.08,Tau
21683,,Sig-2,4.654583,15.917977,4.67,Tau
21689,,,4.65643,25.218274,6.21,Tau
21735,,,4.667616,12.197609,5.45,Tau
21819,,,4.688822,28.614994,5.73,Tau
21881,,Tau,4.704084,22.956926,4.27,Tau
21961,,,4.720488,24.08892,6.18,Tau
22128,,,4.761796,23.627996,6.34,Tau
22176,,,4.771341,18.734693,5.99,Tau
22441,,,4.828912,15.904221,6.09,Tau
22565,,,4.856239,18.839861,5.08,Tau
22697,,,4.879754,27.897485,5.97,Tau
22850,,,4.916211,19.485388,6.36,Tau
22949,,,4.937661,24.592218,6.33,Tau
23043,,,4.956206,17.153677,5.51,Tau
23068,,,4.963513,23.948562,5.79,Tau
23088,,,4.969275,25.050405,5.79,Tau
23497,,Iot,5.051596,21.589962,4.62,Tau
23589,,,5.072663,21.277931,6.2,Tau
23695,,,5.09225,19.806723,6.48,Tau
23835,,,5.124164,18.645052,4.91,Tau
23871,,,5.130111,20.418379,5.28,Tau
23883,,,5.132066,21.704821,5.84,Tau
23900,,,5.135173,24.265175,5.5,Tau
24019,,,5.162524,28.030461,5.93,Tau
24512,,,5.257682,22.284858,6.26,Tau
24820,,,5.320748,20.134596,6.12,Tau
24822,,,5.321278,22.096494,4.96,Tau
24977,,,5.34906,19.814347,6.2,Tau
24984,,,5.349815,27.957262,6.35,Tau
25216,,,5.393807,16.699298,6.09,Tau
25278,,,5.407071,17.383534,5.0,Tau
25410,,,5.434923,16.700161,6.23,Tau
25428,Elnath,Bet,5.438198,28.60745,1.65,Tau
25499,,,5.452804,17.962216,5.4,Tau
25539,,,5.460579,21.936965,4.88,Tau
25555,,,5.462669,15.874052,5.52,Tau
25583,,,5.467114,17.23913,5.77,Tau
25695,,,5.487916,25.150215,5.47,Tau
25806,,,5.51204,22.462255,6.29,Tau
25945,,,5.536875,18.594234,4.32,Tau
25950,,,5.537262,17.058128,5.5,Tau
26064,,,5.558786,18.540231,5.67,Tau
26072,,,5.560788,20.474216,6.19,Tau
26248,,,5.590869,24.039589,5.37,Tau
26291,,,5.59875,27.662347,6.27,Tau
26382,,,5.617704,17.040324,5.53,Tau
